syscall_rate,open_unlink_ratio,unique_files_accessed,failed_syscall_ratio,process_spawn_rate,file_churn_rate,label
46,46.0,37,0.5,0,0,0
1406,1370.0,1265,0.1337126600284495,25,0,0
47,36.0,20,0.0,11,0,0
10,10.0,2,0.0,0,0,0
47,1.7058823529411764,22,0.0,1,17,0
242,233.0,215,0.23553719008264462,8,1,0
1025,1009.0,982,0.1151219512195122,15,1,0
44,34.0,17,0.0,10,0,0
11,11.0,3,0.0,0,0,0
14,14.0,5,0.0,0,0,0
1248,1225.0,1180,0.14022435897435898,22,1,0
43,32.0,17,0.0,11,0,0
13,13.0,5,0.0,0,0,0
14,14.0,5,0.0,0,0,0
10,10.0,2,0.0,0,0,0
1258,205.0,1185,0.13910969793322733,22,6,0
175,159.0,54,0.02857142857142857,14,0,0
18,18.0,7,0.0,0,0,0
10,10.0,2,0.0,0,0,0
10,10.0,2,0.0,0,0,0
1250,1228.0,1180,0.14,22,0,0
49,38.0,20,0.0,11,0,0
27,27.0,19,0.0,0,0,0
14,13.0,5,0.0,1,0,0
392,383.0,365,0.23979591836734693,9,0,0
897,882.0,845,0.10479375696767002,15,0,0
42,32.0,17,0.0,10,0,0
13,12.0,4,0.0,1,0,0
14,14.0,5,0.0,0,0,0
1249,1226.0,1180,0.14011208967173738,23,0,0
44,33.0,17,0.0,11,0,0
10,10.0,2,0.0,0,0,0
14,14.0,5,0.0,0,0,0
13,13.0,5,0.0,0,0,0
1246,1224.0,1178,0.1404494382022472,22,0,0
44,33.0,17,0.0,11,0,0
15,15.0,6,0.0,0,0,0
10,10.0,2,0.0,0,0,0
10,10.0,2,0.0,0,0,0
1249,1226.0,1180,0.14011208967173738,23,0,0
48,37.0,20,0.0,11,0,0
10,10.0,2,0.0,0,0,0
23,6.666666666666667,12,0.0,0,3,0
92,84.0,64,0.21739130434782608,8,0,0
1182,193.66666666666666,1135,0.1311336717428088,14,6,0
44,33.0,17,0.0,11,0,0
36,3.0,18,0.0,0,9,0
25,25.0,14,0.0,0,0,0
1298,1246.0,1192,0.13636363636363635,28,0,0
208,147.0,61,0.02403846153846154,11,0,0
333,32.5,32,0.11711711711711711,0,2,0
62,27.0,19,0.08064516129032258,0,1,0
49,48.0,32,0.1836734693877551,0,1,0
1296,1274.0,1212,0.1404320987654321,22,0,0
56,45.0,26,0.03571428571428571,11,0,0
20,20.0,9,0.0,0,0,0
1570,19.635135135135137,1340,0.12993630573248408,43,74,1
348,1.504,151,0.0028735632183908046,29,125,1
